pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_bmassprov,pl_radj,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,pl_density,pl_name,planet_type,discovery_mission,discoveries_by_mission,planets_in_system,pl_orbper_norm,pl_orbsmax_norm,pl_orbeccen_norm,pl_bmassj_norm,pl_radj_norm,pl_density_norm,st_dist_norm,st_optmag_norm,st_teff_norm,st_mass_norm,st_rad_norm,pl_discmethod_cod,pl_letter_cod,pl_bmassprov_cod,st_optband_cod
70 Vir,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,202.107544,13.778788,18.11,7.81025,V (Johnson),5439.0,1.09,1.73,,70 Vir b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.011278992309089807,0.0,0.4671746293245469,0.625,1.0,7,0,2,1
75 Cet,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,38.039253,-1.034896,81.5,7.81025,V (Johnson),4846.0,1.4500000000000002,1.73,,75 Cet b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.05926391328044571,0.0,0.2717874794069193,1.0,1.0,7,0,2,1
8 UMi,b,Radial Velocity,1,93.4,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,224.201477,74.900925,159.1,7.81025,V (Johnson),4847.4,1.4500000000000002,1.73,,8 UMi b,,Otra misión/Terrestre,914,1,0.9321441867645484,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.11800551080966512,0.0,0.27224876441515633,1.0,1.0,7,0,2,1
81 Cet,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,39.424168,-3.396175,97.18,7.81025,V (Johnson),4785.0,1.4500000000000002,1.73,,81 Cet b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.07113334948222613,0.0,0.25168863261943986,1.0,1.0,7,0,2,1
91 Aqr,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,348.9729,-9.087737,45.52,7.81025,V (Johnson),4665.0,1.4,1.73,,91 Aqr b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.03202779628171744,0.0,0.2121499176276771,0.9479166666666665,1.0,7,0,2,1
AB Pic,b,Imaging,1,12.794585,0.21918750000000004,0.1065,1.0150000000000001,Mass,0.203,0,0,0,94.803802,-58.05431,45.52,9.128,V (Johnson),5626.0,0.97,0.98,,AB Pic b,,Otra misión/Terrestre,914,1,0.1269096165885919,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.03202779628171744,0.11440788331307516,0.5287891268533773,0.5,0.47916666666666663,2,0,0,1
BD+14 4559,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,318.399963,14.689387,50.03,9.63,V (Johnson),5008.0,0.86,0.95,,BD+14 4559 b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.03544177314842851,0.1579918388609134,0.32516474464579903,0.38541666666666674,0.45833333333333337,7,0,2,1
BD+15 2375,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,176.482174,14.616381,774.0,10.31,V (Johnson),4649.0,1.08,1.73,,BD+15 2375 b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.5834721128807606,0.217029866296232,0.20687808896210869,0.6145833333333335,1.0,7,0,2,1
BD+15 2940,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,240.095566,15.54693,175.44,9.046,V (Johnson),4796.0,1.1,1.73,,BD+15 2940 b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.13037455338218373,0.1072885917694043,0.2553130148270182,0.6354166666666667,1.0,7,0,2,1
BD+20 1790,b,Radial Velocity,1,7.78287,0.066,0.1065,1.0150000000000001,Msini,0.203,0,0,0,110.931612,20.416334,25.4,13.971,Kepler-band,4410.0,0.63,0.71,,BD+20 1790 b,,Otra misión/Terrestre,914,1,0.07684342470967911,0.17773752012882446,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.016797371767698178,0.5348801875325576,0.12813014827018132,0.14583333333333348,0.2916666666666667,7,0,2,0
